Country,Happiness Rank,count,MEAN,,Happiness Score,,Happiness Score,,Happiness Score,,Happiness Score,,Happiness Score
,,,,,2015,,2016,,2017,,2018,,2019
Burundi,157,5,3.078999994,Burundi,2.905,Burundi,2.905,Burundi,2.904999971,Burundi,2.905,Burundi,3.775
Central African Republic,,4,3.13425002,Central African Republic,3.678,,,Central African Republic,2.693000078,Central African Republic,3.083,Central African Republic,3.083
Afghanistan,154,5,3.512799982,Afghanistan,3.575,Afghanistan,3.36,Afghanistan,3.79399991,Afghanistan,3.632,Afghanistan,3.203
Madagascar,148,5,3.708000011,Madagascar,3.681,Madagascar,3.695,Madagascar,3.644000053,Madagascar,3.587,Madagascar,3.933
Guinea,151,5,3.777199994,Guinea,3.656,Guinea,3.607,Guinea,3.506999969,Guinea,3.582,Guinea,4.534
Botswana,137,5,3.830000006,Botswana,4.332,Botswana,3.974,Botswana,3.766000032,Botswana,3.59,Botswana,3.488
Yemen,147,5,3.830199987,Yemen,4.077,Yemen,3.724,Yemen,3.592999935,Yemen,4.377,Yemen,3.38
Syria,156,5,3.887999979,Syria,3.006,Syria,3.069,Syria,3.461999893,Syria,6.441,Syria,3.462
Benin,153,5,3.901000013,Benin,3.34,Benin,3.484,Benin,3.657000065,Benin,4.141,Benin,4.883
Comoros,138,3,3.961666667,Comoros,3.956,Comoros,3.956,,,,,Comoros,3.973
Togo,155,5,3.982799977,Togo,2.839,Togo,3.303,Togo,3.494999886,Togo,6.192,Togo,4.085
Lesotho,150,4,4.000750022,Lesotho,4.898,,,Lesotho,3.808000088,Lesotho,3.495,Lesotho,3.802
Chad,144,5,4.003400022,Chad,3.667,Chad,3.763,Chad,3.936000109,Chad,4.301,Chad,4.35
Uganda,145,5,4.00859997,Uganda,3.931,Uganda,3.739,Uganda,4.080999851,Uganda,4.103,Uganda,4.189
Tanzania,149,5,4.019799995,Tanzania,3.781,Tanzania,3.666,Tanzania,3.348999977,Tanzania,6.072,Tanzania,3.231
Rwanda,152,5,4.031199991,Rwanda,3.465,Rwanda,3.515,Rwanda,3.470999956,Rwanda,6.371,Rwanda,3.334
Burkina Faso,145,5,4.073800013,Burkina Faso,3.587,Burkina Faso,3.739,Burkina Faso,4.032000065,Burkina Faso,4.424,Burkina Faso,4.587
Zimbabwe,131,4,4.08525,Zimbabwe,4.61,Zimbabwe,4.193,Zimbabwe,3.875,,,Zimbabwe,3.663
South Sudan,143,4,4.14650002,,,South Sudan,3.832,South Sudan,3.59100008,South Sudan,6.31,South Sudan,2.853
Cambodia,140,5,4.205400044,Cambodia,3.819,Cambodia,3.907,Cambodia,4.168000221,Cambodia,4.433,Cambodia,4.7
Haiti,136,5,4.249999985,Haiti,4.518,Haiti,4.028,Haiti,3.602999926,Haiti,5.504,Haiti,3.597
Liberia,67,5,4.253399998,Liberia,4.571,Liberia,3.622,Liberia,3.532999992,Liberia,5.566,Liberia,3.975
Niger,142,5,4.302399976,Niger,3.845,Niger,3.856,Niger,4.027999878,Niger,5.155,Niger,4.628
Sri Lanka,117,5,4.326200011,Sri Lanka,4.271,Sri Lanka,4.415,Sri Lanka,4.440000057,Sri Lanka,4.139,Sri Lanka,4.366
Congo (Kinshasa),125,5,4.346400042,Congo (Kinshasa),4.517,Congo (Kinshasa),4.272,Congo (Kinshasa),4.28000021,Congo (Kinshasa),4.245,Congo (Kinshasa),4.418
Djibouti,,1,4.369,Djibouti,4.369,,,,,,,,
Egypt,120,5,4.375200027,Egypt,4.194,Egypt,4.362,Egypt,4.735000134,Egypt,4.419,Egypt,4.166
Congo (Brazzaville),127,5,4.377399978,Congo (Brazzaville),3.989,Congo (Brazzaville),4.236,Congo (Brazzaville),4.290999889,Congo (Brazzaville),4.559,Congo (Brazzaville),4.812
Gabon,134,5,4.407800031,Gabon,3.896,Gabon,4.121,Gabon,4.465000153,Gabon,4.758,Gabon,4.799
Myanmar,119,5,4.409600015,Myanmar,4.307,Myanmar,4.395,Myanmar,4.545000076,Myanmar,4.441,Myanmar,4.36
Ethiopia,115,5,4.423200008,Ethiopia,4.512,Ethiopia,4.508,Ethiopia,4.460000038,Ethiopia,4.35,Ethiopia,4.286
Malawi,132,5,4.430000006,Malawi,4.292,Malawi,4.156,Malawi,3.970000029,Malawi,6.322,Malawi,3.41
Zambia,106,5,4.447399988,Zambia,5.129,Zambia,4.795,Zambia,4.513999939,Zambia,3.692,Zambia,4.107
India,118,5,4.478400011,India,4.565,India,4.404,India,4.315000057,India,5.093,India,4.015
Ivory Coast,139,5,4.516999966,Ivory Coast,3.655,Ivory Coast,3.916,Ivory Coast,4.179999828,Ivory Coast,5.89,Ivory Coast,4.944
Swaziland,,2,4.5395,Swaziland,4.867,,,,,,,Swaziland,4.212
Senegal,128,5,4.547399969,Senegal,3.904,Senegal,4.219,Senegal,4.534999847,Senegal,5.398,Senegal,4.681
Mozambique,,4,4.573750048,Mozambique,4.971,,,Mozambique,4.550000191,Mozambique,4.308,Mozambique,4.466
Bangladesh,110,5,4.58019996,Bangladesh,4.694,Bangladesh,4.643,Bangladesh,4.607999802,Bangladesh,4.5,Bangladesh,4.456
Bulgaria,129,5,4.618600045,Bulgaria,4.218,Bulgaria,4.217,Bulgaria,4.714000225,Bulgaria,4.933,Bulgaria,5.011
Iran,105,5,4.638999982,Iran,4.686,Iran,4.813,Iran,4.691999912,Iran,4.456,Iran,4.548
Mali,135,5,4.655000011,Mali,3.995,Mali,4.073,Mali,4.190000057,Mali,6.627,Mali,4.39
Mauritania,130,5,4.661999963,Mauritania,4.436,Mauritania,4.201,Mauritania,4.291999817,Mauritania,5.891,Mauritania,4.49
