Country,mean,2016,2015,2010,2005,2000
Russian Federation,41.46,31,32.1,40,51.6,52.6
Lithuania,39.74,31.9,34.9,37.3,43.9,50.7
Belarus,35.78,26.2,26.3,38.2,45.1,43.1
Ukraine,28.8,22.4,23.1,27.1,34.5,36.9
Latvia,25.38,21.2,21.6,22.7,26.7,34.7
Kazakhstan,30.7,22.5,24.9,32.7,39.4,34
Hungary,24.92,19.1,20.3,26,26.7,32.5
Slovenia,23.96,18.6,21,20.7,27.1,32.4
Estonia,20.78,17.8,15.8,18.3,22.5,29.5
Sri Lanka,20.08,14.6,14.8,19.1,23.1,28.8
Japan,22.38,18.5,19.4,24.4,24.9,24.7
Finland,18.84,15.9,14.4,18.9,20.4,24.6
Suriname,24.72,22.8,23.8,27,26.5,23.5
Guyana,26.58,29.2,29.1,26.8,24.4,23.4
Belgium,21.2,20.7,20.1,21.3,21.2,22.7
France,19.86,17.7,18,20.2,21.1,22.3
Switzerland,18.62,17.2,17.1,16.2,20.8,21.8
Croatia,18.88,16.5,17.8,18.6,20.2,21.3
Serbia,17.26,15.6,15,15.9,18.8,21
Austria,16.98,15.6,16,16,17.3,20
Bulgaria,13.46,11.5,11.4,12.5,13.4,18.5
Lesotho,19.78,21.2,21,20.1,18.6,18
Mongolia,15.54,13,13.1,16.6,17.1,17.9
India,16.86,16.3,16.5,16.5,17.6,17.4
Uruguay,17.42,18.4,19.4,16.6,15.3,17.4
Cuba,14.48,13.9,13.7,14.4,13,17.4
Nicaragua,13.7,12.2,12.2,12.5,14.4,17.2
Czechia,15.14,13.1,13.7,15.4,16.5,17
Poland,17.04,16.2,15.8,18.6,17.7,16.9
Luxembourg,14.44,13.5,14.7,12.9,14.3,16.8
Republic of Moldova,17.76,15.9,16.4,20.9,19.2,16.4
Bolivia (Plurinational State of),14.08,12.2,12.4,14.1,15.3,16.4
Thailand,14.44,14.4,14.6,14.3,12.7,16.2
Iceland,13.94,14,14,13.3,12.2,16.2
Denmark,13.92,12.8,11.9,12.7,16.2,16
Sweden,15.56,14.8,15.7,15.3,16.4,15.6
Rwanda,9.5,6.7,6.8,7.5,10.9,15.6
Equatorial Guinea,15.76,16.4,16.5,16.7,13.7,15.5
Nepal,11.26,8.8,9.1,10.5,12.5,15.4
Trinidad and Tobago,13.78,13.6,13.6,14.5,12.3,14.9
Republic of Korea,26.18,26.9,28.3,34.1,26.8,14.8
Germany,13.88,13.6,13.8,13.7,13.6,14.7
Slovakia,13.54,12.8,12.8,13.9,13.8,14.4
Kiribati,14.2,14.4,14.5,14.5,13.9,13.7
El Salvador,12.36,13.7,14,10.8,9.9,13.4
Norway,12.64,12.2,12.4,12.6,12.7,13.3
Cameroon,12.28,12.2,12.3,11.7,11.9,13.3
Romania,12.34,10.4,11.6,14,12.5,13.2
Australia,13,13.2,13.8,12.5,12.3,13.2
China,11.02,9.7,9.6,10.9,11.7,13.2
Canada,12.84,12.5,12.5,13,13.2,13
Zimbabwe,12,10.7,10.6,11.9,13.9,12.9
New Zealand,12.68,12.1,12.1,13,13.3,12.9
Kyrgyzstan,10.24,8.3,8.1,11.3,10.9,12.6
Bhutan,11.74,11.4,11.6,11.1,12.2,12.4
Ireland,11.86,11.5,11.5,12,11.9,12.4
Singapore,10.58,9.9,9,10,11.6,12.4
Botswana,10.9,9.3,9.7,11.1,12.6,11.8
Eswatini,12.38,13.3,13.1,11.9,12,11.6
South Africa,11.8,11.6,11.8,12.2,11.8,11.6
Eritrea,9.4,7.9,8.1,9,10.4,11.6
United States of America,13.34,15.3,15,13.2,11.9,11.3
Solomon Islands,6.84,4.7,4.9,5.8,7.6,11.2
Uganda,10.38,9.9,9.9,10.5,10.5,11.1
Sierra Leone,9.94,9.7,9.3,9.2,10.4,11.1
Mauritius,8.86,7.8,8.5,8.1,8.8,11.1
Chile,11.04,10.6,10.9,12.2,10.6,10.9
Namibia,9.88,8.7,9,10.4,10.4,10.9
Micronesia (Federated States of),11.26,11.1,11.4,11.1,11.9,10.8
Iran (Islamic Republic of),7.22,4.1,4,6.6,10.7,10.7
Bosnia and Herzegovina,9.14,8.8,8.9,8,9.3,10.7
Montenegro,10.5,10.3,10,10.4,11.4,10.4
Nigeria,9.78,9.5,9.6,10,9.6,10.2
Paraguay,9.78,9.5,9.9,9.3,10.1,10.1
Lao People's Democratic Republic,9.1,8.6,8.5,8.9,9.4,10.1
Democratic People's Republic of Korea,11.08,11.2,11.4,11.9,10.9,10
Congo,7.7,5.9,6.1,7.4,9.1,10
Netherlands,10.96,12.6,12.5,10,9.9,9.8
Togo,9.6,9.6,9.4,9.5,9.9,9.6
Côte d'Ivoire,12.46,14.5,14.4,12.7,11.2,9.5
Benin,9.72,9.9,9.9,9.6,9.7,9.5
Argentina,9.04,9.2,8.8,8.7,9,9.5
Cabo Verde,10.58,11.3,11,11.1,10.1,9.4
Timor-Leste,6,4.6,4.6,5.3,6.2,9.3
Turkmenistan,8.46,6.7,7.2,7.6,11.7,9.1
Dominican Republic,8.98,9.9,9.7,8,8.2,9.1
United Kingdom of Great Britain and Northern Ireland,8.54,8.9,8.7,7.8,8.2,9.1
Central African Republic,8.58,7.7,8.1,9.5,8.8,8.8
Mozambique,6.18,4.9,4.9,5.6,6.7,8.8
Haiti,10.36,11.7,11.7,10.2,9.5,8.7
Seychelles,9.18,9.3,9.4,9.4,9.1,8.7
Spain,8.1,8.7,8.1,7,8.1,8.6
Samoa,5.74,4.4,4.5,5,6.5,8.3
Burkina Faso,7.74,7.7,7.7,7.5,7.6,8.2
Zambia,6.62,6.1,6.1,6.3,6.5,8.1
Chad,8.58,8.8,8.9,8.7,8.5,8
Ethiopia,7.52,7.2,7.2,7.3,7.9,8
Venezuela (Bolivarian Republic of),5.14,3.7,3.8,4.3,5.9,8
Sudan,8.08,8.1,8,8,8.4,7.9
Angola,6.1,4.7,5,5.7,7.2,7.9
Italy,7.7,8.2,8,7.5,7,7.8
Senegal,6.98,6,6.2,6.9,8.1,7.7
North Macedonia,7.3,7.9,7.8,5.9,7.2,7.7
Colombia,7.4,7.2,8.3,7.2,6.7,7.6
Uzbekistan,6.84,7.4,7.4,6,5.8,7.6
Portugal,11.98,14,13.8,13.5,11.1,7.5
Israel,6.56,5.4,5,7.3,7.6,7.5
Costa Rica,7.92,7.9,7.9,8.6,7.9,7.3
Myanmar,7.54,7.8,7.6,7.3,7.7,7.3
Vanuatu,5.42,4.5,4.5,5.1,5.7,7.3
Turkey,7.56,7.3,7.3,8.4,7.6,7.2
Burundi,8.5,9.1,8.9,9,8.4,7.1
Papua New Guinea,6.06,6,6,5.4,5.8,7.1
United Republic of Tanzania,5.7,5.4,5.4,5.3,5.5,6.9
Morocco,4.34,2.9,2.9,3.7,5.3,6.9
Yemen,8.16,8.5,8.6,8.8,8.1,6.8
Bahrain,6.14,5.9,5.9,5.2,7,6.7
Viet Nam,6.98,7.3,7.2,7,6.7,6.7
Bangladesh,6.28,5.9,6.1,6.4,6.3,6.7
Gabon,6.82,7.1,7.3,6.9,6.1,6.7
Democratic Republic of the Congo,5.9,5.7,5.6,5.5,6.1,6.6
Gambia,5.54,5.1,5.2,5.1,5.7,6.6
Malta,7.12,7.5,8,8,5.6,6.5
Saint Lucia,6.22,7.8,7.8,6.1,3,6.4
Saint Vincent and the Grenadines,4.92,2.4,2.7,3.3,9.9,6.3
Guinea,6.48,6.3,6.4,6.6,6.8,6.3
Malawi,4.36,3.7,3.6,3.8,4.5,6.2
Ecuador,8.04,7.1,9.6,8.5,8.9,6.1
Panama,5.12,4.3,3.9,5.1,6.3,6
Georgia,6.84,8.2,8.1,6.9,5,6
Djibouti,6,6.7,6.4,5.2,5.9,5.8
Liberia,6.46,6.8,6.5,6.5,6.8,5.7
Afghanistan,5.32,4.7,4.8,5.1,6.3,5.7
Cambodia,5.5,5.3,5.3,5.4,5.9,5.6
Albania,6.46,6.3,6,7.8,6.7,5.5
Belize,4.96,4.7,4.8,4.9,4.9,5.5
Mali,4.96,4.8,4.8,4.8,4.9,5.5
Libya,5.14,5.2,4.2,5.4,5.6,5.3
Malaysia,5.34,5.5,5.4,5.1,5.4,5.3
Comoros,6.36,6.8,6.8,6.6,6.5,5.1
Peru,4.82,4.9,4.9,4.6,4.6,5.1
Guinea-Bissau,4.3,4,3.9,4.2,4.4,5
Brazil,5.8,6.5,6.5,5.7,5.5,4.8
South Sudan,4.18,3.7,3.7,4.1,4.6,4.8
Somalia,4.64,4.7,4.7,4.3,4.8,4.7
Madagascar,4.28,3.9,4,4.3,4.5,4.7
Niger,4.74,4.6,4.7,4.9,4.9,4.6
Kenya,3.54,3.2,3.1,3.1,3.9,4.4
Maldives,3.16,2.3,2.6,3.2,3.3,4.4
Fiji,4.52,5,5,4.8,3.5,4.3
Oman,3.88,3.9,4.1,3.7,3.4,4.3
Algeria,3.52,3.2,3.2,3.3,3.8,4.1
Ghana,4.74,5.4,5.3,4.7,4.3,4
Indonesia,3.62,3.4,3.4,3.6,3.8,3.9
Mexico,4.64,5.1,5.6,4.6,4.3,3.6
Tonga,3.52,3.5,3.5,3.6,3.4,3.6
Tunisia,3.5,3.4,3.4,3.6,3.6,3.5
Mauritania,3.9,4.4,4.3,3.9,3.5,3.4
Greece,4,5,4.8,3.3,3.5,3.4
Pakistan,3.16,2.9,2.9,3.1,3.5,3.4
Qatar,5.16,6.6,6.5,6.1,3.2,3.4
Jordan,3.02,2.9,2.9,2.8,3.1,3.4
Armenia,5.46,6.6,7,6,4.4,3.3
Egypt,3.62,4,3.8,3.6,3.4,3.3
Guatemala,3.02,2.7,3.1,2.9,3.2,3.2
United Arab Emirates,2.98,2.8,2.8,3,3.1,3.2
Lebanon,3.18,3.3,3.3,3.2,3.1,3
Tajikistan,2.68,2.5,2.5,2.5,2.9,3
Brunei Darussalam,3.78,4.6,4.5,3.7,3.3,2.8
Saudi Arabia,3.12,3.2,3.2,3.4,3,2.8
Iraq,2.82,3,3.1,2.8,2.5,2.7
Philippines,2.96,3.2,3.2,3.3,2.6,2.5
Honduras,2.6,2.9,2.8,2.5,2.5,2.3
Jamaica,2.1,2.2,2.1,2,1.9,2.3
Azerbaijan,2.76,2.6,2.7,3.1,3.2,2.2
Cyprus,4.14,5.3,4.9,5.7,2.6,2.2
Barbados,1.88,0.8,0.7,2.1,3.7,2.1
Kuwait,2.16,2.3,2.3,1.9,2.3,2
Bahamas,1.94,1.7,1.8,2,2.2,2
Sao Tome and Principe,2.08,2.3,2.3,2,1.8,2
Antigua and Barbuda,0.96,0.5,0.8,0.3,1.2,2
Grenada,1.66,1.7,1.1,0.9,2.7,1.9
Syrian Arab Republic,1.72,1.9,1.9,1.9,1.6,1.3
